,Course Title,Unit Count,Requisites,Course Description
54,C123A. Classical and Statistical Thermodynamics  ,4.0,Chemistry and Biochemistry 110B or 156,"C123A. Classical and Statistical Thermodynamics  
Units: 4.0
Lecture, four hours; discussion, one hour. Requisite: course 110B or 156. Recommended: course 113A. Rigorous presentation of fundamentals of classical thermodynamics. Principles of statistical thermodynamics: probability, ensembles, partition functions, independent molecules, and perfect gas. Applications of classical and statistical thermodynamics selected from diatomic and polyatomic gases, solid and fluid states, phase equilibria, electric and magnetic effects, ortho-para hydrogen, chemical equilibria, reaction rates, imperfect gas, nonelectrolyte and electrolyte solutions, surface phenomena, high polymers, gravitation. May be concurrently scheduled with course C223A. P/NP or letter grading.

"
55,C123B. Classical and Statistical Thermodynamics  ,4.0,Chemistry and Biochemistry 110B or 156,"C123B. Classical and Statistical Thermodynamics  
Units: 4.0
Lecture, four hours; discussion, one hour. Requisite: course 110B or 156. Recommended: course 113A. Rigorous presentation of fundamentals of classical thermodynamics. Principles of statistical thermodynamics: probability, ensembles, partition functions, independent molecules, and perfect gas. Applications of classical and statistical thermodynamics selected from diatomic and polyatomic gases, solid and fluid states, phase equilibria, electric and magnetic effects, ortho-para hydrogen, chemical equilibria, reaction rates, imperfect gas, nonelectrolyte and electrolyte solutions, surface phenomena, high polymers, gravitation. May be concurrently scheduled with course C223B. P/NP or letter grading.

"
56,125. Introduction to Python Programming and Machine Learning,4.0,Chemistry and Biochemistry 14C or 30A with grade of C- or better,"125. Introduction to Python Programming and Machine Learning
Units: 4.0
Lecture, three hours; computer laboratory, one hour. Requisite: course 14C or 30A, with grade of C- or better. Introduction to programming in Python and to machine learning and its many applications within chemical sciences. Topics include fundamentals of Python programming, routine numerical procedures such as optimization and linear regression, and overview of machine learning, with special emphasis on neural networks and deep learning, including implementation. Exploration of mainstream applications of machine learning to problems of chemical interest, including molecular simulation, protein structure prediction, and computer-aided drug and material design/discovery. Particular topics to be covered and projects to be completed may be decided in part based on student interest and input. P/NP or letter grading.

"
57,C126A. Computational Methods for Chemists,4.0,Chemistry and Biochemistry 110A 113A Chemistry and Biochemistry Mathematics 33A,"C126A. Computational Methods for Chemists
Units: 4.0
Lecture, one hour; laboratory, four hours. Requisites: courses 110A, 113A, Mathematics 33A. Covers some basics of scientific coding. Introduction to advanced applications provided through commercially available computational packages. Includes quantum mechanical techniques for chemistry, reactivity, spectroscopy, solid state calculations; statistical mechanical techniques for chemistry and biochemistry; python coding, basic algorithms, machine learning, and numerical techniques. Concurrently scheduled with course C226A. P/NP or letter grading.

"
58,CM127. Synthetic Biology for Biofuels,4.0,Chemistry and Biochemistry 153A,"CM127. Synthetic Biology for Biofuels
Units: 4.0
(Same as Chemical Engineering CM127.) Lecture, four hours; discussion, one hour. Requisite: course 153A. Engineering microorganisms for complex phenotype is common goal of metabolic engineering and synthetic biology. Production of advanced biofuels involves designing and constructing novel metabolic networks in cells. Such efforts require profound understanding of biochemistry, protein structure, and biological regulations and are aided by tools in bioinformatics, systems biology, and molecular biology. Fundamentals of metabolic biochemistry, protein structure and function, and bioinformatics. Use of systems modeling for metabolic networks to design microorganisms for energy applications. Concurrently scheduled with course CM227. Letter grading.

"
59,C132A. Core Principles in Cell and Molecular Biology,4.0,Life Sciences 7A 7B 7C 23L,"C132A. Core Principles in Cell and Molecular Biology
Units: 4.0
Lecture, four hours. Requisites: Life Sciences 7A, 7B, 7C, 23L. Students gain broad foundational knowledge and skills for rigorous research in emerging areas of cell and molecular biology. Focus on foundational knowledge of cell and molecular biology research areas including cell cycle, cell signaling, cell metabolism, cell communication, cell states and fates, genomes, and proteomes. Focus on skills development for cell and molecular biology research. Students are equipped with theory of modern experimental approaches, and acquire hands-on skills training in designing experiments and analyzing data using these approaches. Students meet with directors of shared core facilities that specialize in these approaches to facilitate use of these approaches in their research Continuation of in-depth analysis of rigorous experimental design and statistical analyses in cell and molecular biology. Concurrently scheduled with course C232A. P/NP or letter grading.

"
60,136. Organic Structural Methods  ,5.0,Chemistry and Biochemistry 30C and Chemistry and Biochemistry 30CL with grades of C- or better,"136. Organic Structural Methods  
Units: 5.0
Lecture, two hours; laboratory, eight hours. Requisites: courses 30C and 30CL, with grades of C- or better. Laboratory course in organic structure determination by chemical and spectroscopic methods; microtechniques. P/NP or letter grading.

"
61,C138. Natural Product Biosynthesis: Chemical Logic and Enzymatic Machinery,4.0,Chemistry and Biochemistry 30A 30B Chemistry and Biochemistry 30C 153A,"C138. Natural Product Biosynthesis: Chemical Logic and Enzymatic Machinery
Units: 4.0
Lecture, three hours; discussion, one hour. Requisites: courses 30A, 30B, 30C, 153A. Covers fundamental chemical logic and enzyme mechanisms involved in biosynthesis of natural products. Discussion of major classes of natural product including polyketides, nonribosomal peptides, terpenes, alkaloids. Emphasis on biosynthetic logic used by nature to form complex molecules. Discussion of several important enzyme families in context of biosynthesis, including assembly-line megasynthases, group transferases, oxidoreductases, etc. Historical account of natural product isolation and characterization, as well as modern account of synthetic biology and genome based efforts that are used in discovery of new natural products. Includes extensive survey of scientific literature in format of presentations and discussions. Concurrently scheduled with course C238. Letter grading.

"
62,C140. Bionanotechnology,4.0,Chemistry and Biochemistry 30C 110A,"C140. Bionanotechnology
Units: 4.0
Lecture, three hours. Requisites: courses 30C, 110A. Basic physical, chemical, and biological principles in bionanotechnology; materials and strategies for top-down and bottom-up fabrication of ordered biologically derived molecules, characterization and detection techniques, and biomimetic materials and applications at nanoscale. Concurrently scheduled with course C240. P/NP or letter grading.

"
63,C143A. Structure and Mechanism in Organic Chemistry,4.0,Chemistry and Biochemistry 30C and Chemistry and Biochemistry 30CL (may be taken concurrently) 110B and 113A with grades of C- or better,"C143A. Structure and Mechanism in Organic Chemistry
Units: 4.0
Lecture, three hours; discussion, one hour. Requisites: courses 30C and 30CL (may be taken concurrently), 110B, and 113A, with grades of C- or better. Mechanisms of organic reactions. Acidity and acid catalysis; linear free energy relationships; isotope effects. Molecular orbital theory; photochemistry; pericyclic reactions. May be concurrently scheduled with course C243A. P/NP or letter grading.

"
64,C143B. Mechanism and Structure in Organic Chemistry,4.0,Chemistry and Biochemistry C143A with grade of C- or better,"C143B. Mechanism and Structure in Organic Chemistry
Units: 4.0
Lecture, three hours; discussion, one hour. Requisite: course C143A with grade of C- or better. Mechanisms of organic reactions; structure and detection of reactive intermediates. May be concurrently scheduled with course C243B. P/NP or letter grading.

"
65,144. Practical and Theoretical Introductory Organic Synthesis  ,5.0,Chemistry and Biochemistry 30C and Chemistry and Biochemistry 30CL with grades of C- or better,"144. Practical and Theoretical Introductory Organic Synthesis  
Units: 5.0
Lecture, two hours; laboratory, eight hours. Enforced requisites: courses 30C and 30CL, with grades of C- or better. Lectures on modern synthetic reactions and processes, with emphasis on stereospecific methods for carbon-carbon bond formation. Laboratory methods of synthetic organic chemistry, including reaction techniques, synthesis of natural products, and molecules of theoretical interest. P/NP or letter grading.

"
66,C145. Theoretical and Computational Organic Chemistry,4.0,Chemistry and Biochemistry 30C 113A,"C145. Theoretical and Computational Organic Chemistry
Units: 4.0
Lecture, two hours; discussion, one hour; computer laboratory, one hour. Requisites: courses 30C, 113A. Applications of quantum mechanical concepts and methods to understand and predict organic structures and reactivities. Computational modeling methods, including laboratory experience with force-field and quantum mechanical computer calculations. Concurrently scheduled with course C245. P/NP or letter grading.

"
67,147. Careers in Chemistry and Biochemistry,2.0,,"147. Careers in Chemistry and Biochemistry
Units: 2.0
Seminar, two hours. Exploration of employment and career opportunities available to students. Different speakers give short presentations to describe their career paths in areas such as industry, government, research and development, education, law, and healthcare, explain how their education in chemistry and biochemistry helped them become successful, and what actual chemistry was used in their particular professions. Students learn and understand real-life applications of chemical concepts found in their coursework. P/NP grading.

"
68,C150. Research Methods and Integrity in Cellular and Molecular Biology,4.0,,"C150. Research Methods and Integrity in Cellular and Molecular Biology
Units: 4.0
Lecture, two hours; discussion, two hours. Data analysis and management, statistical methods, use of antibody and kit reagents, figure preparation, authorship, mentoring, human subjects protection, animal subject protection, and conflict of interest. May be repeated for credit. Concurrently scheduled with course C250. Letter grading.

"
69,151. Machine Learning for Chemistry,4.0,Chemistry and Biochemistry 20B or 20BH Mathematics 33A or 33AH,"151. Machine Learning for Chemistry
Units: 4.0
(Formerly numbered 51.) Lecture, three hours. Requisites: course 20B or 20BH, Mathematics 33A or 33AH. Introduction to machine learning and its many applications within chemical sciences. Topics include widely-used approaches for modeling large and complex data sets, including neural networks and deep learning, supervised and unsupervised learning, and dimensionality reduction. Exploration of mainstream applications of machine learning to problems of chemical interest, including molecular simulation and computer-aided drug and material design/discovery. Succinct introduction to linear algebra and programming in Python. Particular topics to be covered and projects to be completed may be decided in part based on student interest and input. P/NP or letter grading.

"
70,"153A. Biochemistry: Introduction to Structure, Enzymes, and Metabolism",4.0,Chemistry and Biochemistry 14D or 30B with grade of C- or better,"153A. Biochemistry: Introduction to Structure, Enzymes, and Metabolism
Units: 4.0
Lecture, four hours; discussion, one hour. Requisite: course 14D or 30B, with grade of C- or better. Recommended: Life Sciences 2, 3, and 23L, or 7A. Structure of proteins, carbohydrates, and lipids; enzyme catalysis and principles of metabolism, including glycolysis, citric acid cycle, and oxidative phosphorylation. P/NP or letter grading.

"
71,"153AH. Biochemistry: Introduction to Structure, Enzymes, and Metabolism (Honors)",4.0,Chemistry and Biochemistry 14D or 30B with grade of C- or better,"153AH. Biochemistry: Introduction to Structure, Enzymes, and Metabolism (Honors)
Units: 4.0
Lecture, three hours; discussion, one hour; tutorial, one hour. Requisite: course 14D or 30B, with grade of C- or better. Recommended: Life Sciences 2, 3, 23L. Honors course parallel to course 153A. P/NP or letter grading.

"
72,"153B. Biochemistry: DNA, RNA, and Protein Synthesis",4.0,Chemistry and Biochemistry 153A or 153AH,"153B. Biochemistry: DNA, RNA, and Protein Synthesis
Units: 4.0
Lecture, three hours; discussion, one hour; tutorial, one hour. Requisite: course 153A or 153AH. Recommended: Life Sciences 2, 3, and 23L, or 7A and 7B. Nucleotide metabolism; DNA replication; DNA repair; transcription machinery; regulation of transcription; RNA structure and processing; protein synthesis and processing. P/NP or letter grading.

"
73,"153BH. Biochemistry: DNA, RNA, and Protein Sythesis (Honors)",4.0,Chemistry and Biochemistry 153A or 153AH Life Sciences 2 3 23L,"153BH. Biochemistry: DNA, RNA, and Protein Sythesis (Honors)
Units: 4.0
Lecture, three hours; discussion, one hour; tutorial, one hour. Enforced requisites: course 153A or 153AH, Life Sciences 2, 3, 23L. Honors course parallel to course 153B. P/NP or letter grading.

"
74,153C. Biochemistry: Biosynthetic and Energy Metabolism and Its Regulation,4.0,Chemistry and Biochemistry 153A or 153AH,"153C. Biochemistry: Biosynthetic and Energy Metabolism and Its Regulation
Units: 4.0
Lecture, three hours; discussion, one hour; tutorial, one hour. Requisite: course 153A or 153AH. Metabolism of carbohydrates, fatty acids, amino acids, and lipids; photosynthetic metabolism and assimilation of inorganic nutrients; regulation of these processes. P/NP or letter grading.

"
75,153CH. Biochemistry: Biosynthetic and Energy Metabolism and Its Regulation (Honors),4.0,Chemistry and Biochemistry 153A or 153AH,"153CH. Biochemistry: Biosynthetic and Energy Metabolism and Its Regulation (Honors)
Units: 4.0
Lecture, three hours; discussion, two hours. Requisite: course 153A or 153AH. Honors course parallel to course 153C. P/NP or letter grading.

"
76,153D. Introduction to Protein Structural Biology,4.0,Chemistry and Biochemistry 153A Life Sciences 3 or 7A,"153D. Introduction to Protein Structural Biology
Units: 4.0
Lecture, three hours; discussion, one hour. Requisites: course 153A, Life Sciences 3 or 7A. Proteins are diverse set of macromolecules that perform critical functions within cells, ranging from enzymes that catalyze metabolic reactions to proteins that enable pathogens to cause disease. Introduction to field of protein structural biology, that seeks to understand molecular basis of protein function through visualizing atomic structures and by investigating how alterations in protein structure affects function. Students gain fundamental understanding of protein structure and its relationship to function and learn how experimental and computational methods are used to determine three-dimensional structures of proteins. Hands-on training in computer graphics programs and online tools used to visualize and analyze protein structures. Letter grading.

"
77,153L. Biochemical Methods I,4.0,Chemistry and Biochemistry 14BL or Chemistry and Biochemistry 20L and 30AL and 153A or 153AH (may be taken concurrently) with grades of C- or better,"153L. Biochemical Methods I
Units: 4.0
Lecture, two hours; laboratory, four hours. Requisites: courses 14BL or 20L and 30AL, and 153A or 153AH (may be taken concurrently), with grades of C- or better. Integrated term-long project involving biofuel production in bacteria. Purification of key enzyme for alcohol production from bacteria via affinity chromatography. Assessment of protein amount, purity, and activity of enzyme. Techniques include protein determination by Bradford assay, polyacrylamide gel electrophoresis, immunoblotting, and enzyme activity assays to determine enzyme activity (Km, Vmax, inhibitor studies). P/NP or letter grading.

"
78,154. Biochemical Methods II,5.0,Chemistry and Biochemistry 153A or Chemistry and Biochemistry 153AH 153B or 153BH and 153L with grades of C- or better,"154. Biochemical Methods II
Units: 5.0
Lecture, two hours; laboratory, eight hours. Enforced requisites: courses 153A or 153AH, 153B or 153BH, and 153L, with grades of C- or better. Recommended: course 156. Two to three major laboratory projects using biochemical laboratory techniques to investigate contemporary problems in biochemistry. Topics include transcription activation, molecular basis of DNA-protein interactions, biochemical basis of platelet activation, and initiation of blood clotting cascade. Experiments entail characterizing function of proteins, nucleic acids, and lipids involved in these processes. P/NP or letter grading.

"
79,"C155. Mitochondria in Medicine, Biology, and Chemistry",1.0,,"C155. Mitochondria in Medicine, Biology, and Chemistry
Units: 1.0
Seminar, two hours every other week. Open to undergraduate and graduate science majors considering or currently conducting research in areas related to mitochondria. Large number of physiological and pathophysiological processes involve mitochondrial function and dysfunction. Focus on understanding how mitochondria metabolism, form, and function impact health and disease. Physiology and cell biology of healthy and dysfunctional mitochondria critically assessed at subcellular, cellular, tissue, and organismal levels. Topics include in-depth analyses of literature and critical evaluation of experimental design and methods of current research. May be repeated for credit. Concurrently scheduled with course CM255. P/NP grading.

"
80,156. Physical Biochemistry  ,4.0,Chemistry and Biochemistry 110A 153A,"156. Physical Biochemistry  
Units: 4.0
Lecture, four hours; discussion, one hour. Requisites: courses 110A, 153A. Biochemical kinetics; solution thermodynamics of biochemical systems; multiple equilibria; hydrodynamics; energy levels, spectroscopy, and bonding; topics from structural, statistical, and electrochemical methods of biochemistry. P/NP or letter grading.

"
81,"M157. Food: Molecules, Microbes, Environment",4.0,Chemistry and Biochemistry 153A Life Sciences 7A 7B,"M157. Food: Molecules, Microbes, Environment
Units: 4.0
(Same as Food Studies M157.) Lecture, three hours; discussion, one hour. Requisite: course 153A. Recommended requisites: Life Sciences 7A, 7B. Study of science of food. Study of food units physical, biological, environmental, social, and behavioral sciences. Use of scientific concepts to explain properties of food. Covers range of topics that focus on science of cooking, critical role of microbes in transformation of foods, genetic and environmental concerns related to acquisition of food, and impact of different dietary systems on metabolism and physiology. Comprises four major interrelated topics: molecules of food and their sources, science of cooking, acquisition of food, eating. P/NP or letter grading.

"
82,C159. Mechanisms of Gene Regulation,4.0,Chemistry and Biochemistry 153B,"C159. Mechanisms of Gene Regulation
Units: 4.0
Lecture, four hours. Requisite: course 153B. RNA polymerase structures and mechanisms; promoter recognition and transcription cycle; mechanisms of activation; transcriptional poising and elongation control; Mediator of transcription; chromatin remodeling and modification; epigenetic regulation; cotranscriptional and transcription-coupled RNA processing; impact of transcription on mRNA processing and stability; nuclear export of mRNA. Concurrently scheduled with course CM259. P/NP or letter grading.

"
83,CM160A. Introduction to Bioinformatics,4.0,Computer Science 32 or Program in Computing 10C with grade of C- or better and one course from Civil and Environmental Engineering 110 Electrical and Computer Engineering 131A Mathematics 170A Mathematics 170E or Statistics 100A,"CM160A. Introduction to Bioinformatics
Units: 4.0
(Same as Computer Science CM121.) Lecture, four hours; discussion, two hours. Requisites: Computer Science 32 or Program in Computing 10C with grade of C- or better, and one course from Civil and Environmental Engineering 110, Electrical and Computer Engineering 131A, Mathematics 170A, Mathematics 170E, or Statistics 100A. Prior knowledge of biology not required. Designed for engineering students as well as students from biological sciences and medical school. Introduction to bioinformatics and methodologies, with emphasis on concepts and inventing new computational and statistical techniques to analyze biological data. Focus on sequence analysis and alignment algorithms. Concurrently scheduled with course CM260A. P/NP or letter grading.

"
84,CM160B. Algorithms in Bioinformatics,4.0,Computer Science 32 or Program in Computing 10C with grade of C- or better and one course from Civil Engineering 110 Electrical and Computer Engineering 131A Mathematics 170A Mathematics 170E or Statistics 100A,"CM160B. Algorithms in Bioinformatics
Units: 4.0
(Same as Computer Science CM122.) Lecture, four hours; discussion, two hours. Requisites: Computer Science 32 or Program in Computing 10C with grade of C- or better, and one course from Civil Engineering 110, Electrical and Computer Engineering 131A, Mathematics 170A, Mathematics 170E, or Statistics 100A. Course CM160A is not requisite to CM160B. Designed for engineering students as well as students from biological sciences and medical school. Development and application of computational approaches to biological questions, with focus on formulating interdisciplinary problems as computational problems and then solving these problems using algorithmic techniques. Computational techniques include those from statistics and computer science. Concurrently scheduled with course CM260B. Letter grading.

"
85,C164. Free Radicals in Biology and Medicine,2.0 to 4.0,Chemistry and Biochemistry 153A and Chemistry and Biochemistry either 153B or 153C with grades of C- or better,"C164. Free Radicals in Biology and Medicine
Units: 2.0 to 4.0
Lecture, three hours. Enforced requisites: courses 153A and either 153B or 153C, with grades of C- or better. Biochemcial reactivity of dioxygen, its role in mitochondrial metabolism, neurodegenerative diseases, apoptosis, and aging. Discussion of radical reactions, how they are harnessed to achieve enzyme catalysis, and how free radicals contribute to or regulate essential biological processes. These same reactions run amok under certain types of stress and can contribute to wide variety of diseases, including neurodegenerative diseases (e.g., Huntington's, Parkinson's, and Alzheimer's diseases), mitochondrial diseases, atherosclerosis, and aging. Concurrently scheduled with course C264. P/NP or letter grading.

"
86,C165. Metabolic Control by Protein Modification,4.0,Chemistry and Biochemistry 153A 153B Chemistry and Biochemistry 153C,"C165. Metabolic Control by Protein Modification
Units: 4.0
Lecture, three hours; discussion, one hour. Requisites: courses 153A, 153B, 153C. Biochemical basis of controlling metabolic pathways by posttranslational modification of proteins, including phosphorylation and methylation reactions. Concurrently scheduled with course C265. Letter grading.

"
87,"166. RNA Structure, Recognition, and Function",4.0,Chemistry and Biochemistry 153A 153B Chemistry and Biochemistry Life Sciences 3 and 23L or 7A,"166. RNA Structure, Recognition, and Function
Units: 4.0
Lecture, three hours; discussion, one hour. Requisites: courses 153A, 153B, Life Sciences 3 and 23L, or 7A. Recent years have seen explosion in biochemical characterization of diverse structures and functions of RNA molecules in metabolism of living systems. RNA has been shown to act both as catalyst in living systems and as potent modulator of gene expression control at every level of gene expression pathways (transcription, RNA processing, translation, degradation). RNA molecules now being used as therapeutic agents in gene therapy approaches. Coverage of these various aspects and in-depth analysis of RNA structure and function, using primary research literature and analysis of molecular structures of RNA and RNA-protein complexes. Letter grading.

"
88,CM170. Biochemistry and Molecular Biology of Photosynthetic Apparatus,2.0 to 4.0,Chemistry and Biochemistry 153A and Chemistry and Biochemistry 153B or Life Sciences 3 and 23L and course 153L,"CM170. Biochemistry and Molecular Biology of Photosynthetic Apparatus
Units: 2.0 to 4.0
(Same as Molecular, Cell, and Developmental Biology M170.) Lecture, two to three hours; discussion, zero to two hours. Requisites: courses 153A and 153B, or Life Sciences 3 and 23L, and course 153L. Recommended: courses 153C, 154, Life Sciences 4. Light harvesting, photochemistry, electron transfer, carbon fixation, carbohydrate metabolism, pigment synthesis in chloroplasts and bacteria. Assembly of photosynthetic membranes and regulation of genes encoding those components. Emphasis on understanding of experimental approaches. Concurrently scheduled with course C270. P/NP or letter grading.

"
89,171. Intermediate Inorganic Chemistry,4.0,Chemistry and Biochemistry 30B with grade of C- or better,"171. Intermediate Inorganic Chemistry
Units: 4.0
Lecture, three hours; discussion, one hour. Requisite: course 30B with grade of C- or better. Chemical bonding; structure and bonding in solid state; main group, transition metal, lanthanide and actinide compounds and reactions; catalysis, spectroscopy, special topics. P/NP or letter grading.

"
90,C172. Advanced Inorganic Chemistry,4.0,Chemistry and Biochemistry 171 with grade of C- or better,"C172. Advanced Inorganic Chemistry
Units: 4.0
(Formerly numbered 172.) Lecture, three hours; discussion, one hour. Requisite: course 171 with grade of C- or better. Systematic approach to modern inorganic chemistry, structure and bonding of inorganic molecules and solids, structure/reactivity relationships, vibrational spectra of complexes, electronic structure and ligand-field theory, mechanisms of inorganic reactions, bonding and spectroscopy of organometallic compounds, transition metals in catalysis and biology. Concurrently scheduled with course C272. P/NP or letter grading.

"
91,C173. Electrochemical Systems,4.0,Chemistry and Biochemistry 110A Mathematics 33B,"C173. Electrochemical Systems
Units: 4.0
Lecture, three hours; discussion, two hours. Requisites: course 110A, Mathematics 33B. Introduction to principles of electrochemical systems commonly applied in research of inorganic chemistry, materials sciences, and nanotechnology. With examples in recent literature and discussions of experimental practice, focus on qualitative and quantitative evaluation of information obtained from electrochemical characterization methods. Understanding of course contents helps appreciate research and technologies in catalysis, energy storage and conversion, and advanced environmental technologies. Concurrently scheduled with course C273. P/NP or letter grading.

"
92,C174. Inorganic and Metalorganic Laboratory Methods,5.0,Chemistry and Biochemistry 30CL and Chemistry and Biochemistry 171 with grades of C- or better,"C174. Inorganic and Metalorganic Laboratory Methods
Units: 5.0
Lecture, two hours; laboratory, eight hours. Enforced requisites: courses 30CL and 171, with grades of C- or better. Synthesis of inorganic compounds, including air-sensitive materials; Schlenck techniques; chromatographic and ion exchange methods; spectroscopic characterization and literature applications. Concurrently scheduled with course C274. P/NP or letter grading.

"
93,C175. Inorganic Reaction Mechanisms,4.0,Chemistry and Biochemistry 110A 110B Chemistry and Biochemistry 113A and 172 with grades of C- or better,"C175. Inorganic Reaction Mechanisms
Units: 4.0
Lecture, three hours. Requisites: courses 110A, 110B, 113A, and 172, with grades of C- or better. Survey of inorganic reactions; mechanistic principles; electronic structure of metal ions; transition-metal coordination chemistry; inner- and outer-sphere and chelate complexes; substitution, isomerization, and racemization reactions; stereochemistry; oxidation/reduction, free/radical, polymerization, and photochemical reactions of inorganic species. May be concurrently scheduled with course C275. P/NP or letter grading.

"
94,C176. Group Theory and Applications to Inorganic Chemistry,4.0,Chemistry and Biochemistry 113A and Chemistry and Biochemistry 172 with grades of C- or better,"C176. Group Theory and Applications to Inorganic Chemistry
Units: 4.0
Lecture, three hours; discussion, one hour. Requisites: courses 113A and 172, with grades of C- or better. Group theoretical methods; molecular orbital theory; ligand-field theory; electronic spectroscopy; vibrational spectroscopy. May be concurrently scheduled with course C276A. P/NP or letter grading.

"
95,C180. Solid-State Chemistry,4.0,Chemistry and Biochemistry 172 with grade of C- or better,"C180. Solid-State Chemistry
Units: 4.0
Lecture, three hours. Requisite: course 172 with grade of C- or better. Survey of new materials and methods for their preparation and characterization, with emphasis on band theory and its relationship to chemical, optical, transport, and magnetic properties, leading to deeper understanding of these materials. Concurrently scheduled with course C280. P/NP or letter grading.

"
96,C181. Polymer Chemistry  ,4.0,Chemistry and Biochemistry 30B 110A,"C181. Polymer Chemistry  
Units: 4.0
Lecture, three hours; discussion, one hour. Requisites: courses 30B, 110A. Synthesis of organic and inorganic macromolecules, thermodynamic and statistical mechanical descriptions of unique properties of polymers, polymer characterization methods, and special topics such as conductive and biomedical polymers and polymeric reagents in synthesis. Concurrently scheduled with course C281. P/NP or letter grading.

"
97,184. Chemical Instrumentation  ,5.0,Chemistry and Biochemistry 30CL and Chemistry and Biochemistry 110A with grades of C- or better,"184. Chemical Instrumentation  
Units: 5.0
Lecture, two hours; laboratory, eight hours. Enforced requisites: courses 30CL and 110A, with grades of C- or better. Theory and practice of instrumental techniques of chemical and structural analysis, including atomic absorption spectroscopy, gas chromatography, mass spectrometry, nuclear magnetic resonance, polarography, X-ray fluorescence, and other modern methods. P/NP or letter grading.

"
98,185. Materials Chemistry Laboratory,5.0,Chemistry and Biochemistry 30AL 110A Chemistry and Biochemistry 113A 171,"185. Materials Chemistry Laboratory
Units: 5.0
Lecture, two hours; laboratory, eight hours. Requisites: courses 30AL, 110A, 113A, 171. Materials synthesis and physical properties of complex materials. Combines synthetic skills with fundamental physical understanding and characterization in approximately equal proportions to relate materials synthesis to materials function. Letter grading.

"
99,M186. Stochastic Processes in Biochemical Systems,4.0,Life Sciences 1 2 3 and 4 or 7A 7B and 7C Mathematics 33B Electrical and Computer Engineering 131A or Mathematics 170A or Statistics 100A,"M186. Stochastic Processes in Biochemical Systems
Units: 4.0
(Same as Computational and Systems Biology M175.) Lecture, three hours. Requisites: Life Sciences 1, 2, 3, and 4, or 7A, 7B, and 7C, Mathematics 33B, Electrical and Computer Engineering 131A or Mathematics 170A or Statistics 100A. Covers random and stochastic processes in play in biochemical systems, including ion channels, cytoskeleton, cell migration and mitosis, gene expression networks, and signal transduction. Covers mathematical tools such as continuous and discrete Markov processes, first passage, time escape problems, statistical mechanics, and information theory. Letter grading.

"
100,188SA. Individual Studies for USIE Facilitators,1.0,Honors Collegium 101E,"188SA. Individual Studies for USIE Facilitators
Units: 1.0
Tutorial, to be arranged. Enforced corequisite: Honors Collegium 101E. Limited to junior/senior USIE facilitators. Individual study in regularly scheduled meetings with faculty mentor to discuss selected USIE seminar topic, conduct preparatory research, and begin preparation of syllabus. Individual contract with faculty mentor required. May not be repeated. Letter grading.

"
101,188SB. Individual Studies for USIE Facilitators,1.0,Chemistry and Biochemistry 188SA Honors Collegium 101E,"188SB. Individual Studies for USIE Facilitators
Units: 1.0
Tutorial, to be arranged. Enforced requisite: course 188SA. Enforced corequisite: Honors Collegium 101E. Limited to junior/senior USIE facilitators. Individual study in regularly scheduled meetings with faculty mentor to finalize course syllabus. Individual contract with faculty mentor required. May not be repeated. Letter grading.

"
102,188SC. Individual Studies for USIE Facilitators,2.0,Chemistry and Biochemistry 188SB,"188SC. Individual Studies for USIE Facilitators
Units: 2.0
Tutorial, to be arranged. Enforced requisite: course 188SB. Limited to junior/senior USIE facilitators. Individual study in regularly scheduled meetings with faculty mentor while facilitating USIE 88S course. Individual contract with faculty mentor required. May not be repeated. Letter grading.

"
103,189. Advanced Honors Seminars,1.0,,"189. Advanced Honors Seminars
Units: 1.0
Seminar, three hours. Limited to 20 students. Designed as adjunct to undergraduate lecture course. Exploration of topics in greater depth through supplemental readings, papers, or other activities and led by lecture course instructor. May be applied toward honors credit for eligible students. Honors content noted on transcript. P/NP or letter grading.

"
104,189HC. Honors Contracts,1.0,,"189HC. Honors Contracts
Units: 1.0
Tutorial, three hours. Limited to students in College Honors Program. Designed as adjunct to upper-division lecture course. Individual study with lecture course instructor to explore topics in greater depth through supplemental readings, papers, or other activities. May be repeated for maximum of 4 units. Individual honors contract required. Honors content noted on transcript. Letter grading.

"
105,192A. Undergraduate Practicum in Chemistry and Biochemistry,4.0,Chemistry and Biochemistry 14BL and Chemistry and Biochemistry 14CL or 20L and 30AL or Science Education 100SL,"192A. Undergraduate Practicum in Chemistry and Biochemistry
Units: 4.0
Lecture, one hour; laboratory, four hours; workshop, two hours. Enforced requisites: courses 14BL and 14CL, or 20L and 30AL, or Science Education 100SL. Intended for students who are planning careers in secondary science chemistry teaching. Complements service learning California Teach science courses that involve teaching field experiences in middle school and high school classrooms. Examination of chemistry issues such as chemical storage and use, waste management, laboratory organization, safety, and techniques. P/NP or letter grading.

"
106,192B. Undergraduate Practicum in Chemistry and Biochemistry,4.0,Chemistry and Biochemistry 14BL and Chemistry and Biochemistry 14CL or 20L and 30AL or Science Education 100SL,"192B. Undergraduate Practicum in Chemistry and Biochemistry
Units: 4.0
Lecture, one hour; laboratory, four hours; workshop, two hours. Enforced requisites: courses 14BL and 14CL, or 20L and 30AL, or Science Education 100SL. Intended for students who are planning careers in secondary science chemistry teaching. Complements service learning California Teach science courses that involve teaching field experiences in middle school and high school classrooms. Examination of chemistry issues such as chemical storage and use, waste management, laboratory organization, safety, and techniques. P/NP or letter grading.

"
